sys_RespNum,d,MXD_1_b,MXD_1_w,MXD_2_b,MXD_2_w,MXD_3_b,MXD_3_w,MXD_4_b,MXD_4_w,MXD_5_b,MXD_5_w,MXD_6_b,MXD_6_w,MXD_7_b,MXD_7_w,MXD_8_b,MXD_8_w,MXD_9_b,MXD_9_w,MXD_10_b,MXD_10_w,MXD_11_b,MXD_11_w,MXD_12_b,MXD_12_w,MXD_13_b,MXD_13_w,MXD_14_b,MXD_14_w,MXD_15_b,MXD_15_w,MXD_16_b,MXD_16_w,MXD_17_b,MXD_17_w,MXD_18_b,MXD_18_w,sys_MXDDesignID_MXD,nKOP1,nKOP2,nKOP3,nKOP4,nKOP5,nKOP6,nKOP7,nKOP8,nKOP9,nKOP10,nKOP11,nKOP12,nKOP13,weegvar
748,411111358,16,26,3,12,2,19,21,28,16,27,6,26,15,30,2,29,5,25,40,27,22,12,3,28,4,18,6,23,14,17,5,24,16,29,38,33,MXD1_1753104514_5,1,5,1,5,3,1,4,3,9,2,2,1,1,.88246624313761
1426,411111364,16,3,8,4,11,23,13,26,21,15,36,32,17,28,5,1,33,6,8,12,28,39,23,27,25,29,2,16,12,10,9,21,31,22,6,4,MXD1_1753104514_5,1,5,3,1,8,1,,3,5,2,2,2,2,1.13259039335603
892,411111367,5,26,12,11,39,3,40,27,22,28,16,10,6,36,5,28,25,31,37,38,40,1,23,35,6,28,5,7,16,13,31,11,14,26,6,39,MXD1_1753104514_5,2,5,1,5,5,2,4,3,9,2,2,1,1,.757315478001565
1482,411111369,10,26,6,24,9,2,3,16,22,13,23,7,17,26,34,8,3,38,36,19,33,25,10,21,6,12,7,20,17,1,11,37,22,26,8,18,MXD1_1753104514_5,1,5,3,2,8,1,4,2,3,2,2,2,2,1.13259039335603
1240,411111373,7,31,28,26,8,34,20,18,5,27,10,25,24,13,9,12,34,23,10,16,20,19,29,11,7,38,6,26,5,28,9,11,7,13,22,12,MXD1_1753104514_5,1,5,2,5,1,3,3,6,9,2,1,1,1,.686049367051532
1212,411111383,8,24,16,20,9,32,15,24,1,25,22,28,10,19,29,26,3,30,4,35,7,39,2,36,16,32,8,12,9,26,7,29,1,19,3,39,MXD1_1753104514_5,2,5,1,3,1,3,2,3,9,2,2,1,1,.757315478001565
1785,411111398,25,24,6,11,21,17,27,29,5,26,16,33,15,28,39,18,40,11,6,32,25,14,39,26,5,28,6,29,27,11,3,23,21,18,8,26,MXD1_1753104514_5,2,5,2,4,3,1,6,2,7,2,2,2,2,.971967190580289
397,411111408,9,29,5,28,10,30,16,23,12,20,13,19,6,25,27,36,2,23,10,38,22,19,14,35,13,21,2,33,6,18,16,20,17,28,15,35,MXD1_1753104514_5,2,5,2,2,6,3,2,2,7,2,2,2,2,.971967190580289
130,411111414,1,25,3,24,16,27,5,21,6,34,40,33,7,29,16,31,22,34,3,33,1,24,15,30,8,29,19,31,5,13,2,27,16,26,19,30,MXD1_1753104514_5,2,5,2,5,7,3,4,2,8,2,2,1,2,.757315478001565
1577,411111417,10,35,14,30,21,17,3,28,16,37,13,26,9,20,5,18,34,31,15,39,9,28,16,36,7,35,17,18,3,38,6,26,8,22,2,35,MXD1_1753104514_5,1,5,1,5,6,3,6,3,11,2,2,2,2,.88246624313761
1200,411111419,8,24,2,28,16,39,1,40,9,29,3,26,6,27,16,36,1,25,15,21,3,18,1,39,24,30,13,29,10,28,3,33,6,24,9,25,MXD1_1753104514_5,2,5,1,4,5,3,6,5,11,2,2,2,1,.971967190580289
790,411111430,15,12,2,19,22,18,9,31,39,23,6,12,16,13,6,30,11,36,1,19,3,18,7,33,5,38,10,24,11,27,14,12,2,13,6,8,MXD1_1753104514_5,1,5,3,1,1,2,1,1,9,1,2,1,1,1.13259039335603
1699,411111436,14,19,5,37,16,12,6,29,3,28,4,40,22,32,14,26,1,33,6,13,5,12,15,40,20,29,16,11,21,38,15,19,2,13,5,12,MXD1_1753104514_5,1,5,2,4,7,1,3,6,4,2,1,2,2,.88246624313761
71,411111438,33,29,21,13,8,15,2,26,6,35,10,17,3,29,27,28,32,11,1,26,37,13,15,25,2,35,6,17,10,24,16,20,3,12,7,28,MXD1_1753104514_5,2,5,2,2,1,3,4,2,5,2,2,1,1,.757315478001565
1933,411111444,16,18,4,19,1,27,11,13,7,23,16,12,15,18,6,39,14,31,36,33,6,4,14,19,17,18,15,32,3,1,10,26,11,28,24,23,MXD1_1753104514_5,2,5,3,4,1,3,5,2,5,2,2,1,1,1.13321125009949
1250,411111447,40,27,5,23,13,34,15,28,9,36,16,27,2,35,3,26,10,38,16,33,4,29,21,26,13,32,40,30,6,37,15,36,4,33,2,39,MXD1_1753104514_5,1,5,2,5,7,2,6,4,10,2,1,1,1,.686049367051532
1371,411111455,10,32,9,28,14,13,3,38,5,27,16,18,6,25,7,28,10,8,2,26,5,28,4,38,16,13,15,26,14,27,9,38,5,11,15,19,MXD1_1753104514_5,2,5,2,1,8,1,5,2,3,2,1,2,1,.757315478001565
1087,411111461,36,15,19,14,22,26,7,12,37,6,39,29,21,25,16,28,22,14,27,24,10,26,21,1,31,24,20,25,23,35,22,11,6,28,19,12,MXD1_1753104514_5,1,5,1,1,6,1,6,6,9,2,2,2,2,.88246624313761
1776,411111474,20,34,7,24,13,11,14,2,6,23,37,27,25,16,8,33,14,31,1,35,8,6,32,28,9,17,31,36,3,39,9,5,7,20,11,14,MXD1_1753104514_5,1,5,2,5,7,3,6,7,13,2,2,1,2,.686049367051532
1763,411111484,5,18,22,26,15,31,40,28,6,29,16,12,4,23,17,13,2,19,6,28,1,18,21,29,16,25,14,35,3,26,1,11,7,28,2,18,MXD1_1753104514_5,1,5,1,2,1,3,1,6,5,1,1,2,1,.686049367051532
599,411111489,21,27,22,13,40,19,5,33,9,24,37,25,6,27,39,11,40,28,3,16,22,24,5,13,14,30,6,29,15,27,22,17,4,26,10,29,MXD1_1753104514_5,1,5,1,5,8,3,6,3,10,2,2,1,2,.686049367051532
783,411111509,34,24,17,19,5,37,20,29,23,28,6,18,3,12,9,26,10,39,22,16,9,33,3,19,4,28,8,32,20,18,10,31,9,29,8,26,MXD1_1753104514_5,2,5,1,4,7,3,5,4,9,2,2,2,2,.757315478001565
228,411111520,10,20,5,11,3,29,8,30,10,38,6,31,7,32,1,39,22,30,9,28,5,39,6,26,2,29,8,12,3,31,1,11,7,35,5,26,MXD1_1753104514_5,2,5,3,3,5,3,3,2,8,2,1,1,1,1.13321125009949
1398,411111533,10,27,1,4,3,29,5,26,7,35,21,30,9,39,22,28,10,32,23,31,5,39,3,30,2,20,9,33,24,28,1,25,6,26,10,34,MXD1_1753104514_5,1,5,1,4,3,2,5,2,5,2,2,1,2,1.13259039335603
615,411111536,2,29,15,30,22,32,3,24,2,12,6,28,40,31,19,25,21,7,16,28,8,29,6,18,15,35,1,7,5,34,2,26,3,21,1,32,MXD1_1753104514_5,1,5,2,1,3,2,6,3,7,2,1,2,1,1.13259039335603
696,411111537,31,17,36,38,25,28,24,22,12,40,39,21,15,27,3,7,33,25,10,36,15,28,23,6,14,20,37,33,27,9,10,13,21,28,39,4,MXD1_1753104514_5,1,5,3,3,1,3,6,3,11,2,2,2,1,1.13259039335603
1753,411111540,33,13,3,28,5,26,9,17,2,18,22,16,25,35,29,14,39,19,24,15,2,13,27,7,23,16,20,15,27,19,24,36,3,15,1,39,MXD1_1753104514_5,1,5,3,5,5,1,6,2,5,2,2,1,1,1.32048096679005
358,411111541,1,26,11,13,5,38,9,39,6,17,24,31,4,37,29,13,10,35,5,12,2,35,1,26,10,34,6,19,8,32,1,13,2,36,10,12,MXD1_1753104514_5,1,5,3,4,8,1,4,3,9,2,2,2,2,1.13259039335603
675,411111548,13,17,6,7,23,38,20,9,19,8,15,7,6,10,5,31,30,18,4,9,14,20,5,17,22,10,4,35,19,18,33,26,6,25,16,8,MXD1_1753104514_5,1,5,2,3,7,1,4,2,5,2,2,1,1,.686049367051532
174,411111550,4,26,6,32,22,9,40,13,2,25,15,17,38,26,5,16,3,1,20,36,9,27,3,25,10,35,21,12,29,11,39,13,7,34,3,31,MXD1_1753104514_5,1,5,3,3,1,2,6,2,5,2,2,1,1,1.13259039335603
1898,411111552,21,24,40,33,10,4,39,18,13,28,2,26,9,25,5,29,8,30,6,26,7,25,10,35,5,18,16,36,9,23,2,38,22,35,16,26,MXD1_1753104514_5,1,5,1,2,7,3,1,2,5,1,2,1,1,.88246624313761
1418,411111558,10,26,34,35,19,1,7,13,16,27,33,29,37,11,3,18,19,36,10,35,16,38,7,29,15,11,1,17,22,23,39,30,5,26,3,25,MXD1_1753104514_5,1,5,3,4,2,3,6,6,9,2,1,2,2,1.32048096679005
808,411111562,34,38,23,19,33,39,16,29,22,26,37,30,31,8,32,9,6,25,23,12,39,28,33,26,36,11,3,13,34,28,40,18,23,11,17,29,MXD1_1753104514_5,1,5,1,5,6,3,5,2,5,2,2,1,2,.88246624313761
