Version,Set,Item1,Item2,Item3,Item4,Item5
1,1,37,34,2,15,14
1,2,30,5,27,39,12
1,3,18,28,25,32,7
1,4,36,1,35,29,13
1,5,11,17,9,24,6
1,6,16,31,19,3,4
1,7,33,23,38,26,10
1,8,15,14,25,12,40
1,9,29,8,34,39,24
1,10,35,19,7,22,11
1,11,23,20,32,4,1
1,12,17,21,33,5,37
1,13,38,27,16,28,6
1,14,3,18,10,13,9
1,15,31,2,36,30,26
1,16,8,40,20,21,22
1,17,6,15,4,7,29
1,18,27,35,17,18,34
2,1,32,33,30,29,3
2,2,40,37,11,31,18
2,3,21,24,15,36,38
2,4,19,9,39,23,28
2,5,12,16,13,17,32
2,6,20,30,14,10,7
2,7,22,26,34,3,5
2,8,1,6,29,8,27
2,9,25,4,35,2,33
2,10,7,39,31,38,17
2,11,24,13,40,19,5
2,12,28,12,1,10,21
2,13,16,26,8,35,15
2,14,9,25,37,27,20
2,15,4,11,23,34,36
2,16,14,22,6,18,2
2,17,39,1,26,40,17
2,18,13,4,37,28,30
3,1,39,10,16,25,22
3,2,28,36,20,17,14
3,3,34,9,12,33,31
3,4,30,21,18,8,19
3,5,10,15,32,27,40
3,6,26,13,4,22,23
3,7,2,7,24,16,1
3,8,35,6,3,37,39
3,9,5,32,22,9,36
3,10,10,29,17,19,2
3,11,13,27,21,26,11
3,12,24,3,28,25,15
3,13,34,40,38,6,30
3,14,31,8,23,14,35
3,15,18,39,12,20,4
3,16,7,37,33,1,16
3,17,29,38,5,11,25
3,18,12,7,3,36,8
4,1,26,32,19,37,14
4,2,36,10,6,25,21
4,3,1,18,15,38,5
4,4,33,24,13,20,31
4,5,11,23,12,2,3
4,6,32,28,17,22,8
4,7,4,34,7,21,27
4,8,9,30,40,16,35
4,9,33,11,39,15,19
4,10,20,2,5,28,29
4,11,6,17,31,23,25
4,12,38,13,8,34,39
4,13,40,36,26,7,20
4,14,14,16,9,29,18
4,15,37,12,10,24,35
4,16,22,3,27,1,38
4,17,17,4,15,9,30
4,18,8,33,2,40,28
5,1,1,25,11,32,34
5,2,4,22,24,14,38
5,3,5,8,16,37,23
5,4,19,20,6,12,26
5,5,21,29,28,35,31
5,6,2,14,7,13,39
5,7,11,8,1,30,9
5,8,3,5,40,4,10
5,9,27,19,18,36,33
5,10,15,29,22,23,37
5,11,10,31,34,20,16
5,12,2,38,21,32,9
5,13,25,26,30,18,24
5,14,17,35,36,3,20
5,15,6,22,29,33,12
5,16,15,27,14,31,13
5,17,26,9,28,11,7
5,18,23,21,39,40,17
6,1,13,35,5,6,32
6,2,38,3,20,11,16
6,3,30,23,27,2,24
6,4,5,31,14,21,1
6,5,9,19,8,25,4
6,6,39,32,36,38,37
6,7,3,14,33,34,28
6,8,18,7,23,5,10
6,9,29,12,38,35,26
6,10,20,17,1,15,19
6,11,24,30,22,31,32
6,12,16,36,29,27,40
6,13,25,33,13,7,21
6,14,8,10,11,18,22
6,15,12,15,2,9,39
6,16,37,28,40,19,34
6,17,21,6,3,26,24
6,18,35,2,10,4,17
7,1,17,16,21,22,33
7,2,40,31,9,1,3
7,3,19,25,13,38,2
7,4,36,34,15,6,23
7,5,7,18,30,20,37
7,6,28,24,4,12,5
7,7,14,39,35,27,11
7,8,10,34,21,13,9
7,9,29,37,25,17,3
7,10,15,5,20,33,8
7,11,27,7,31,19,12
7,12,34,32,18,16,2
7,13,14,11,24,10,36
7,14,26,9,4,39,6
7,15,23,1,35,30,28
7,16,22,40,38,12,13
7,17,32,10,26,8,29
7,18,21,16,11,30,15
8,1,19,11,9,24,29
8,2,34,26,25,5,27
8,3,32,12,23,14,21
8,4,38,6,30,10,19
8,5,33,18,24,1,39
8,6,31,36,37,4,8
8,7,16,28,6,13,11
8,8,7,29,17,40,5
8,9,3,35,19,34,21
8,10,22,20,2,9,1
8,11,18,38,28,15,26
8,12,3,39,32,36,30
8,13,40,14,16,33,4
8,14,13,20,29,23,25
8,15,24,2,8,37,27
8,16,31,15,7,35,22
8,17,36,13,12,17,18
8,18,27,4,10,32,33
9,1,26,5,31,16,14
9,2,23,17,9,24,7
9,3,6,40,32,20,15
9,4,30,37,26,1,13
9,5,28,25,39,31,10
9,6,27,23,22,3,18
9,7,5,19,11,2,36
9,8,12,1,34,24,16
9,9,20,29,4,21,31
9,10,14,3,38,8,17
9,11,35,18,25,6,40
9,12,11,30,33,37,12
9,13,28,27,19,16,36
9,14,1,13,3,15,10
9,15,2,21,18,26,4
9,16,8,32,14,7,6
9,17,9,33,5,35,38
9,18,39,22,36,29,34
10,1,36,33,17,25,26
10,2,40,11,37,38,4
10,3,9,27,39,5,20
10,4,19,1,6,14,22
