respondent_id,loglik,n_events,rlh
17,-30.385658,36,0.429967
18,-50.360892,36,0.246865
19,-47.316936,36,0.268646
20,-35.712675,36,0.370827
21,-49.699971,36,0.251439
22,-35.278191,36,0.375330
23,-47.611039,36,0.266461
24,-47.329489,36,0.268553
25,-59.689440,36,0.190512
26,-59.562894,36,0.191183
27,-40.696268,36,0.322887
29,-47.423645,36,0.267851
30,-35.415556,36,0.373901
31,-52.192302,36,0.234620
32,-30.182937,36,0.432395
33,-35.899506,36,0.368908
34,-35.716961,36,0.370783
35,-67.835426,36,0.151933
36,-35.690805,36,0.371053
37,-50.896331,36,0.243220
38,-51.908158,36,0.236480
39,-50.711857,36,0.244470
40,-46.067969,36,0.278130
41,-60.776526,36,0.184845
42,-50.996965,36,0.242542
43,-35.327517,36,0.374816
44,-38.852052,36,0.339859
46,-58.929688,36,0.194575
49,-46.509005,36,0.274744
50,-123.822260,36,0.032080
51,-67.924252,36,0.151558
52,-46.088648,36,0.277971
54,-30.597903,36,0.427440
55,-50.797749,36,0.243887
57,-59.047553,36,0.193939
60,-58.500295,36,0.196910
61,-61.082455,36,0.183281
63,-58.898239,36,0.194745
64,-50.300478,36,0.247280
66,-50.486060,36,0.246008
67,-70.852743,36,0.139718
68,-38.787522,36,0.340469
69,-36.801689,36,0.359778
70,-39.382969,36,0.334884
71,-40.914572,36,0.320935
72,-30.576436,36,0.427695
74,-50.182335,36,0.248092
75,-69.525782,36,0.144964
76,-35.876471,36,0.369144
77,-68.388770,36,0.149615
78,-45.007575,36,0.286445
79,-35.693481,36,0.371025
80,-35.757286,36,0.370368
82,-36.674003,36,0.361056
83,-40.915071,36,0.320931
84,-46.357738,36,0.275901
85,-35.232293,36,0.375809
86,-36.036803,36,0.367504
87,-46.001274,36,0.278646
93,-38.970911,36,0.338739
96,-35.119285,36,0.376990
97,-45.880698,36,0.279581
98,-39.901058,36,0.330099
99,-68.640931,36,0.148571
100,-104.245498,36,0.055260
101,-59.265672,36,0.192768
102,-30.772054,36,0.425377
103,-35.323096,36,0.374862
105,-105.452924,36,0.053437
106,-46.222940,36,0.276936
108,-38.949979,36,0.338936
110,-58.761570,36,0.195486
111,-59.148872,36,0.193394
112,-36.962053,36,0.358179
113,-58.980863,36,0.194299
114,-60.842772,36,0.184505
115,-40.735920,36,0.322532
119,-58.806928,36,0.195240
122,-35.944987,36,0.368442
124,-46.158553,36,0.277431
125,-35.342725,36,0.374658
126,-59.184321,36,0.193204
127,-122.609343,36,0.033180
129,-58.580609,36,0.196471
130,-40.279303,36,0.326649
131,-36.900542,36,0.358791
132,-35.813370,36,0.369792
133,-121.710877,36,0.034018
135,-46.064343,36,0.278158
136,-104.539361,36,0.054811
137,-36.128941,36,0.366564
138,-35.978197,36,0.368102
139,-50.899071,36,0.243202
140,-35.648459,36,0.371489
141,-67.966101,36,0.151382
142,-52.331318,36,0.233716
144,-36.873752,36,0.359058
145,-30.435244,36,0.429375
146,-39.466936,36,0.334104
147,-45.001741,36,0.286491
148,-50.539419,36,0.245644
149,-104.554290,36,0.054788
150,-122.147330,36,0.033608
151,-59.086056,36,0.193732
152,-46.152334,36,0.277479
154,-35.251712,36,0.375606
155,-52.264506,36,0.234150
156,-58.331580,36,0.197835
157,-36.073671,36,0.367127
158,-68.138153,36,0.150660
159,-58.400384,36,0.197457
161,-65.462636,36,0.162284
162,-35.241389,36,0.375714
163,-123.677752,36,0.032210
165,-35.931338,36,0.368582
166,-39.191724,36,0.336668
168,-58.859327,36,0.194956
169,-95.696055,36,0.070073
170,-50.125156,36,0.248487
171,-50.475476,36,0.246080
172,-36.000542,36,0.367874
173,-45.440245,36,0.283022
174,-60.885678,36,0.184286
175,-36.033630,36,0.367536
176,-39.684017,36,0.332095
177,-58.604825,36,0.196339
178,-46.333390,36,0.276087
179,-59.083963,36,0.193743
180,-61.139594,36,0.182990
181,-41.432221,36,0.316354
182,-38.827660,36,0.340090
183,-35.629780,36,0.371682
184,-121.371601,36,0.034340
185,-51.894162,36,0.236572
186,-30.469137,36,0.428971
187,-50.420023,36,0.246460
188,-30.314255,36,0.430821
189,-47.399960,36,0.268028
190,-52.257839,36,0.234194
191,-41.142654,36,0.318908
192,-35.544487,36,0.372564
193,-35.433700,36,0.373712
194,-50.676784,36,0.244708
196,-45.380823,36,0.283490
197,-35.651181,36,0.371461
198,-203.546335,36,0.003503
200,-39.517291,36,0.333637
201,-40.557964,36,0.324130
203,-40.727309,36,0.322609
204,-49.537710,36,0.252575
205,-49.878262,36,0.250197
206,-68.897215,36,0.147517
207,-36.884761,36,0.358948
208,-39.031247,36,0.338172
209,-39.487340,36,0.333914
210,-35.976800,36,0.368117
211,-68.888985,36,0.147551
212,-58.608463,36,0.196319
213,-35.836424,36,0.369555
214,-41.010975,36,0.320077
215,-68.177155,36,0.150497
216,-58.885544,36,0.194814
219,-35.896112,36,0.368943
220,-30.646410,36,0.426864
221,-40.638928,36,0.323402
222,-35.674406,36,0.371222
223,-47.840456,36,0.264768
224,-68.618276,36,0.148664
225,-104.765517,36,0.054467
226,-97.249121,36,0.067114
227,-50.664733,36,0.244790
228,-60.806825,36,0.184690
