respondent_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
17,2.527729,2.577461,2.526826,2.489275,2.487412,2.399835,2.559917,2.328196,2.631601,2.426335,2.440519,2.430473,2.493253,2.397690,2.523045,2.591957,2.533306,2.380866,2.465454,2.552028,2.370650,2.649928,2.570737,2.422743,2.565045,2.556808,2.491816,2.582714,2.370929,2.451888,2.619830,2.477897,2.477786,2.546946,2.612921,2.409578,2.561808,2.421413,2.505346,2.570037
18,2.485217,2.635829,2.660248,2.465689,2.468922,2.552459,2.508978,2.417324,2.455359,2.517675,2.424040,2.505149,2.491891,2.573509,2.666785,2.478529,2.496855,2.581124,2.464161,2.444974,2.422664,2.541831,2.597641,2.534990,2.454840,2.691613,2.361284,2.433149,2.421190,2.443895,2.530602,2.542297,2.594797,2.453272,2.430556,2.463498,2.428884,2.473075,2.509059,2.376148
19,2.430132,2.546032,2.463764,2.573243,2.569364,2.417968,2.453934,2.542996,2.494023,2.520867,2.515040,2.571335,2.309453,2.638266,2.541890,2.490465,2.518329,2.624848,2.406523,2.534243,2.601591,2.539430,2.697367,2.459014,2.481802,2.562074,2.480588,2.474685,2.612767,2.407363,2.424238,2.496081,2.576279,2.535184,2.389793,2.365559,2.337113,2.495607,2.351164,2.549587
20,2.595805,2.426055,2.526102,2.398549,2.499640,2.538850,2.567314,2.518025,2.550844,2.429326,2.515553,2.587292,2.473796,2.508321,2.384107,2.637904,2.448512,2.447318,2.564632,2.570690,2.371872,2.671037,2.580735,2.502872,2.631350,2.520425,2.473964,2.387874,2.563752,2.532799,2.383783,2.414020,2.357848,2.623807,2.589937,2.463656,2.284207,2.446752,2.570641,2.440033
21,2.487935,2.578284,2.565919,2.553651,2.626184,2.656732,2.510671,2.613423,2.423489,2.309018,2.402835,2.364668,2.466957,2.444275,2.602839,2.645735,2.573730,2.389347,2.484440,2.375822,2.477688,2.336854,2.592719,2.663004,2.614641,2.314715,2.437927,2.513122,2.351555,2.426361,2.549588,2.550297,2.673282,2.442600,2.484208,2.586835,2.538301,2.495592,2.401687,2.473068
22,2.668260,2.323723,2.580806,2.557899,2.496685,2.676451,2.606805,2.374687,2.561211,2.482275,2.633138,2.338706,2.499923,2.712593,2.552719,2.559389,2.356894,2.519255,2.468596,2.537152,2.657716,2.438407,2.665923,2.457079,2.481541,2.505746,2.402798,2.453848,2.471972,2.441698,2.406490,2.528472,2.589740,2.279918,2.571740,2.542202,2.310628,2.191562,2.564379,2.530972
23,2.550286,2.505316,2.599351,2.501774,2.630379,2.578861,2.598968,2.441499,2.564574,2.498613,2.441567,2.401142,2.526449,2.432493,2.398714,2.559824,2.408483,2.495606,2.457593,2.497088,2.506318,2.489226,2.643242,2.553523,2.468841,2.588252,2.402853,2.429172,2.365949,2.605659,2.561893,2.371673,2.449292,2.523807,2.577552,2.341157,2.503117,2.405453,2.531796,2.592644
24,2.666821,2.539176,2.659871,2.377383,2.488632,2.616395,2.545472,2.449830,2.533733,2.300304,2.621713,2.536247,2.592775,2.603050,2.357837,2.474908,2.472124,2.505322,2.382034,2.477733,2.553258,2.447759,2.420865,2.547821,2.423934,2.502050,2.544458,2.484003,2.390839,2.504848,2.503618,2.687257,2.433942,2.436545,2.417286,2.459394,2.518702,2.498604,2.540533,2.482925
25,2.401904,2.421713,2.602625,2.378887,2.622437,2.689367,2.747856,2.457921,2.520519,2.428504,2.467720,2.366622,2.437901,2.586563,2.413982,2.572739,2.470727,2.298393,2.419779,2.602708,2.392709,2.478358,2.743016,2.487700,2.542880,2.604342,2.426226,2.410168,2.526448,2.520349,2.510479,2.435166,2.542354,2.315069,2.344211,2.584495,2.565527,2.586765,2.555410,2.519462
26,2.540533,2.402910,2.395196,2.505402,2.634993,2.514075,2.364613,2.434639,2.535039,2.593483,2.504685,2.552528,2.398113,2.338781,2.580298,2.471293,2.547005,2.536282,2.359787,2.519321,2.429563,2.512225,2.501128,2.483240,2.508915,2.553154,2.674705,2.457309,2.497138,2.657904,2.468849,2.548939,2.400231,2.535091,2.498498,2.447942,2.463551,2.708017,2.495268,2.429360
27,2.382670,2.521353,2.533090,2.439181,2.643827,2.361579,2.405100,2.609563,2.470722,2.392161,2.454320,2.476790,2.607008,2.616358,2.548193,2.512245,2.515006,2.417142,2.484860,2.409869,2.396311,2.635903,2.440457,2.544469,2.562128,2.474724,2.429175,2.428663,2.469724,2.627829,2.598397,2.555888,2.382534,2.374205,2.562393,2.556275,2.535063,2.311012,2.708796,2.605019
29,2.399719,2.477580,2.650048,2.348911,2.490160,2.654492,2.475142,2.466337,2.552760,2.584501,2.334776,2.470888,2.518363,2.496745,2.468741,2.537170,2.566597,2.389480,2.382770,2.470998,2.320627,2.519872,2.635149,2.508635,2.470766,2.472203,2.463216,2.352230,2.621958,2.724868,2.534896,2.617310,2.594549,2.534471,2.525288,2.589357,2.437406,2.291526,2.482166,2.567326
30,2.782992,2.401320,2.522903,2.635293,2.497435,2.454285,2.533223,2.332217,2.626430,2.571853,2.663997,2.464949,2.328112,2.649915,2.501959,2.501565,2.426639,2.404969,2.436894,2.604754,2.643338,2.374414,2.575699,2.604738,2.600722,2.549205,2.391780,2.417343,2.459498,2.561306,2.585970,2.287418,2.295669,2.559039,2.316692,2.446065,2.398033,2.625335,2.531946,2.434090
31,2.475927,2.431585,2.547607,2.578518,2.588947,2.612957,2.458427,2.454091,2.475412,2.431705,2.506716,2.598356,2.402781,2.529773,2.567899,2.541880,2.449123,2.533307,2.529343,2.594077,2.624406,2.580792,2.483440,2.582965,2.301421,2.338001,2.503889,2.582077,2.590483,2.510942,2.410140,2.489734,2.476495,2.407638,2.401620,2.610556,2.331840,2.367962,2.476865,2.620304
32,2.480463,2.458933,2.504112,2.566833,2.436141,2.546555,2.607201,2.548469,2.488466,2.539029,2.385361,2.527876,2.635422,2.533411,2.557202,2.492324,2.547765,2.408959,2.571313,2.535157,2.462869,2.549928,2.423168,2.309788,2.486616,2.406512,2.493481,2.575193,2.474282,2.620639,2.476557,2.407554,2.429082,2.585298,2.478541,2.513950,2.405446,2.463363,2.577186,2.489557
33,2.522957,2.536828,2.506137,2.712128,2.564640,2.545874,2.674141,2.564460,2.492102,2.629754,2.461525,2.561586,2.506617,2.374103,2.531552,2.490170,2.402547,2.612863,2.372219,2.473500,2.492322,2.543482,2.381867,2.418898,2.562933,2.640175,2.520463,2.488235,2.462093,2.514272,2.351488,2.485550,2.486185,2.510452,2.376147,2.377401,2.453696,2.409047,2.482358,2.507232
34,2.505342,2.424567,2.484988,2.513825,2.575795,2.549557,2.493742,2.516761,2.353751,2.570665,2.309788,2.479765,2.570023,2.514312,2.473890,2.423194,2.506007,2.563923,2.461660,2.505214,2.370057,2.370420,2.448509,2.502895,2.489914,2.429401,2.637500,2.565458,2.469254,2.425691,2.458384,2.581648,2.600311,2.440391,2.569081,2.572777,2.636809,2.628185,2.436581,2.569966
35,2.430093,2.288859,2.436521,2.378993,2.300167,2.515850,2.550418,2.567233,2.581774,2.457594,2.364921,2.665714,2.568445,2.793725,2.577600,2.489980,2.511088,2.566609,2.678778,2.458578,2.614552,2.572946,2.371579,2.429054,2.545996,2.412993,2.281358,2.652983,2.612141,2.486747,2.472917,2.607803,2.622610,2.507151,2.486822,2.412840,2.517137,2.312408,2.450166,2.446857
36,2.527908,2.583323,2.396321,2.570745,2.509710,2.423568,2.709878,2.412299,2.681203,2.501409,2.475539,2.492318,2.409511,2.424825,2.390201,2.561057,2.567757,2.514875,2.454849,2.526696,2.605035,2.349178,2.478783,2.443648,2.563189,2.432610,2.412801,2.396590,2.422815,2.545282,2.462481,2.514095,2.412207,2.489548,2.645797,2.709155,2.469847,2.572752,2.519797,2.420400
37,2.396017,2.585661,2.434102,2.481765,2.503811,2.602932,2.665362,2.484104,2.492035,2.714712,2.426317,2.497669,2.464317,2.539805,2.424372,2.557611,2.623370,2.630535,2.397732,2.571034,2.530269,2.355154,2.572095,2.497246,2.499797,2.640084,2.466210,2.376897,2.541834,2.547514,2.521247,2.381798,2.562687,2.385926,2.374914,2.530382,2.459129,2.427231,2.401271,2.435051
38,2.411344,2.687495,2.558345,2.647419,2.432289,2.627436,2.588466,2.552407,2.594785,2.435674,2.649843,2.520819,2.332788,2.597476,2.550467,2.421980,2.669262,2.442049,2.467024,2.530255,2.480506,2.533568,2.374108,2.484988,2.567544,2.512345,2.631844,2.378605,2.293345,2.536100,2.353118,2.516173,2.382106,2.518065,2.326823,2.482789,2.486544,2.641508,2.403749,2.378548
39,2.436050,2.588093,2.294990,2.564144,2.700470,2.593495,2.476407,2.536010,2.654356,2.252758,2.427128,2.517600,2.487564,2.394100,2.609607,2.500685,2.642645,2.315433,2.748706,2.518449,2.576156,2.403439,2.536552,2.504483,2.458025,2.416004,2.461180,2.330482,2.722303,2.437997,2.577229,2.451807,2.364770,2.427143,2.529237,2.605266,2.400007,2.424190,2.622349,2.492694
40,2.354120,2.484943,2.422787,2.656336,2.529837,2.571235,2.578362,2.590773,2.605128,2.534189,2.651605,2.476926,2.708149,2.457461,2.374451,2.597999,2.498151,2.421423,2.397575,2.443954,2.523742,2.395538,2.662362,2.515537,2.487735,2.598257,2.533500,2.492023,2.405301,2.352148,2.389345,2.480491,2.517726,2.535545,2.321740,2.625379,2.437825,2.479168,2.420972,2.470262
41,2.528987,2.366454,2.476712,2.535756,2.509902,2.473938,2.691399,2.507150,2.443629,2.554513,2.584206,2.331334,2.512779,2.757302,2.466782,2.668237,2.716418,2.297853,2.597556,2.267927,2.487063,2.462543,2.556761,2.455193,2.440873,2.587854,2.445181,2.412793,2.452658,2.545048,2.537130,2.418337,2.502910,2.404209,2.527252,2.532512,2.470410,2.463605,2.427991,2.580843
42,2.714406,2.453673,2.397088,2.410505,2.492928,2.485048,2.645109,2.588023,2.549151,2.519750,2.351234,2.477379,2.765316,2.563897,2.434993,2.527894,2.589091,2.479290,2.603033,2.463053,2.396079,2.545029,2.360948,2.292553,2.401791,2.552514,2.381874,2.586754,2.705158,2.435447,2.466353,2.516092,2.659908,2.532762,2.563966,2.439863,2.381804,2.409636,2.481803,2.378804
43,2.537609,2.547620,2.605654,2.454195,2.556517,2.506080,2.464083,2.647582,2.534830,2.620324,2.722442,2.346934,2.777453,2.466701,2.606724,2.385943,2.499349,2.334057,2.559015,2.395798,2.402092,2.520389,2.562004,2.400676,2.411848,2.346598,2.617617,2.722699,2.419735,2.596839,2.463634,2.578657,2.345373,2.542479,2.388606,2.666586,2.264560,2.284950,2.557369,2.338379
44,2.635254,2.651132,2.704977,2.484707,2.379737,2.538849,2.490163,2.442175,2.521027,2.622037,2.475578,2.449514,2.606245,2.427151,2.486166,2.450359,2.511363,2.361093,2.472673,2.621520,2.756180,2.533873,2.394713,2.512306,2.501693,2.473928,2.415414,2.557532,2.437075,2.448288,2.483796,2.523995,2.586881,2.473189,2.363836,2.434592,2.365699,2.418677,2.540680,2.445936
46,2.549310,2.523237,2.428198,2.562069,2.487882,2.487656,2.440727,2.417710,2.438992,2.438772,2.489929,2.451814,2.409651,2.460655,2.457507,2.526370,2.502126,2.444856,2.623599,2.548219,2.479496,2.543845,2.547670,2.535504,2.513757,2.480257,2.668952,2.460072,2.428210,2.466386,2.583845,2.380141,2.606148,2.466875,2.501597,2.400960,2.611039,2.575048,2.476938,2.583982
49,2.431440,2.466022,2.521369,2.560353,2.382420,2.421024,2.308556,2.267376,2.574980,2.588091,2.490373,2.684232,2.726764,2.608003,2.502159,2.482194,2.459207,2.516994,2.556907,2.397851,2.515686,2.441461,2.310331,2.541028,2.389373,2.750748,2.565631,2.500566,2.583907,2.436908,2.392913,2.568939,2.461216,2.477128,2.476238,2.447225,2.596771,2.550413,2.461752,2.585453
50,2.572006,2.602445,2.524964,2.401631,2.472356,2.604698,2.579324,2.567833,2.662691,2.585140,2.459340,2.315446,2.368415,2.567107,2.316667,2.674458,2.412661,2.512300,2.352882,2.352271,2.349800,2.562517,2.500248,2.495411,2.537024,2.654364,2.386767,2.557613,2.337066,2.560690,2.370862,2.605347,2.497633,2.533442,2.555003,2.418357,2.476294,2.645707,2.521871,2.529351
51,2.469006,2.672287,2.519735,2.485905,2.588032,2.539512,2.459844,2.400298,2.584598,2.781409,2.483213,2.538044,2.425972,2.591523,2.376635,2.376372,2.528756,2.428874,2.517655,2.675110,2.652606,2.485337,2.535017,2.500677,2.486412,2.666856,2.407521,2.489024,2.390027,2.490554,2.572386,2.489646,2.417037,2.504559,2.555573,2.332760,2.350519,2.483922,2.334998,2.411790
52,2.462856,2.557402,2.483210,2.531557,2.453710,2.559024,2.591975,2.520946,2.558022,2.566031,2.469674,2.469084,2.305419,2.463477,2.438830,2.302883,2.507396,2.659409,2.491280,2.516611,2.552074,2.526704,2.373653,2.469654,2.485938,2.499120,2.606631,2.702310,2.499709,2.488445,2.427966,2.534320,2.584970,2.501461,2.402609,2.452626,2.495131,2.471271,2.471662,2.544950
54,2.633230,2.623502,2.501866,2.472965,2.466848,2.536455,2.309330,2.678258,2.553649,2.593808,2.539760,2.541364,2.431556,2.525446,2.493196,2.519945,2.402635,2.302581,2.462319,2.449997,2.457187,2.660488,2.507872,2.536881,2.492812,2.555846,2.362985,2.407070,2.498845,2.630501,2.552477,2.391252,2.532922,2.533872,2.447495,2.388444,2.543538,2.458223,2.561361,2.441219
55,2.504245,2.525182,2.434544,2.414330,2.437807,2.618120,2.624897,2.542693,2.562604,2.358183,2.346412,2.463213,2.485785,2.469440,2.663375,2.529889,2.509871,2.516719,2.463718,2.545078,2.613192,2.403412,2.567716,2.573440,2.392470,2.495131,2.625906,2.394902,2.452159,2.663205,2.589404,2.367068,2.486504,2.509559,2.416538,2.453344,2.627446,2.558427,2.365047,2.429026
57,2.506762,2.404151,2.515978,2.456821,2.551997,2.700526,2.548780,2.571229,2.399223,2.403570,2.508945,2.402011,2.590446,2.344573,2.547222,2.521049,2.453703,2.523119,2.656679,2.375853,2.520022,2.439080,2.690873,2.520082,2.544367,2.541842,2.450801,2.503102,2.309313,2.430726,2.436995,2.350990,2.477417,2.680857,2.419944,2.470578,2.528002,2.664500,2.492687,2.545186
60,2.424037,2.357674,2.439230,2.590715,2.483814,2.453767,2.520861,2.686503,2.662841,2.748184,2.487094,2.453957,2.611950,2.659723,2.512476,2.490874,2.655532,2.417137,2.569429,2.376185,2.506906,2.400044,2.592884,2.519090,2.548016,2.541467,2.368005,2.471699,2.339455,2.462182,2.464734,2.537692,2.379957,2.399444,2.543209,2.488089,2.478119,2.399683,2.486822,2.470518
61,2.514438,2.275224,2.514519,2.522761,2.396253,2.511652,2.421813,2.508479,2.430678,2.732177,2.304420,2.644186,2.735211,2.426892,2.585117,2.474778,2.486552,2.400142,2.507120,2.698813,2.569071,2.508050,2.435321,2.367874,2.537761,2.457480,2.374185,2.573231,2.437127,2.537410,2.633416,2.611371,2.460291,2.395990,2.435572,2.563115,2.432307,2.430002,2.454123,2.695079
63,2.545233,2.502230,2.513016,2.472338,2.658634,2.586445,2.677975,2.356435,2.393146,2.471740,2.550184,2.490608,2.468624,2.579683,2.511978,2.454676,2.501174,2.394458,2.361469,2.597232,2.243396,2.503180,2.541279,2.448937,2.399504,2.607306,2.336752,2.527123,2.400763,2.471964,2.486464,2.477801,2.749128,2.495241,2.594966,2.496567,2.625643,2.498958,2.444292,2.563458
